titles,authors,dates,abstracts,urls,keys,texts
Analysis of Cloud Computing Vulnerabilities,"Masudur Rahman, Wah Man Cheung",nan,"Copyright © 2014 ISSR Journals. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. ABSTRACT: Cloud computing is one of the most emerging networking technology, which has been considered as significantly effective among different types of users. Using cloud computing can be cost effective and organisation can focus more on their unique business idea instead of IT infrastructure or developing software, if they use IaaS or SaaS according to the business needs. However, there are issues with security of critical business data that is stored on cloud service provider’s server. There are many concerns in regards to cloud computing security, which have many vulnerabilities and threats. In our previous paper, we have investigated security issues for cloud computing environment, where we have revealed the lack of awareness of cloud service providers to ensure the security. In this paper we have discussed about more threats and vulnerabilities of cloud computing, which cover some of the technical aspects of this burning issue. We would like to propose a cost effective and efficient security model for cloud computing environment after identifying the security risks involved in this sector of modern computing.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.676.6902&rep=rep1&type=pdf,"['cloud computing vulnerability', 'cloud computing', 'cloud service provider', 'original work', 'efficient security model', 'business need', 'critical business data', 'security issue', 'creative common attribution license', 'modern computing', 'cloud service provider server', 'technical aspect', 'emerging networking technology', 'many concern', 'previous paper', 'unrestricted use', 'security risk', 'unique business idea', 'different type', 'open access article', 'issr journal', 'many vulnerability']",
PHP Cloud Computing Platform,"Arvind Kalyan, Submitted To",2008,Abstract Approved: _______________________________________________________ Dr. Bella Bose Motivation for cloud computing applications are listed. A Cloud Computing framework – MapReduce – is implemented. A document indexing application is built as an example MapReduce application on this framework. Focus is given to ease of job submission and,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.983.7082&rep=rep1&type=pdf,[],
Security Issues of Cloud Computing,Muhammad Rehan Faheem,nan,"The present article is aimed at significance of cloud computing in growing Internet services. Cloud computing is a very broad term in which data owner remotely store and access their data from anywhere and anytime. In this, User remotely store their data and access their data form anywhere and anytime. The safeness and security of cloud computing is very important point. This paper focuses on the major security issues that the cloud operating system has faced today.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.681.9665&rep=rep1&type=pdf,"['cloud computing', 'security issue', 'data form', 'important point', 'internet service', 'present article', 'major security issue', 'broad term', 'cloud operating system', 'data owner']",
Community Cloud Computing,"Alexandros Marinos, Gerard Briscoe",907,"Abstract—. Cloud Computing is rising fast, with its data centres growing at an unprecedented rate. However, this has come with concerns over privacy, efficiency at the expense of resilience, and environmental sustainability, because of the dependence on Cloud vendors such as Google, Amazon and Microsoft. Our response is an alternative model for the Cloud conceptualisation, providing a paradigm for Clouds in the community, utilising networked personal computers for liberation from the centralised vendor model. Community Cloud Computing (C3) offers an alternative architecture, created by combing the Cloud with paradigms from Grid Computing, principles from Digital Ecosystems, and sustainability from Green Computing, while remaining true to the original vision of the Internet. It is more technically challenging than Cloud Computing, having to deal with distributed computing issues, including heterogeneous nodes, varying quality of service, and additional security constraints. However, these are not insurmountable challenges, and with the need to retain control over our digital lives and the potential environmental consequences, it is a challenge we must pursue.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.314.3601&rep=rep1&type=pdf,"['community cloud computing', 'cloud computing', 'digital ecosystem', 'original vision', 'heterogeneous node', 'environmental sustainability', 'alternative model', 'cloud vendor', 'alternative architecture', 'grid computing', 'data centre', 'unprecedented rate', 'digital life', 'insurmountable challenge', 'networked personal computer', 'potential environmental consequence', 'green computing', 'centralised vendor model', 'additional security constraint', 'cloud conceptualisation']",
Gamification for Volunteer Cloud Computing,"Alimohammad Shahri, Mahmood Hosseini, Raian Ali, Fabiano Dalpiaz",nan,"Abstract — Volunteer cloud computing is a paradigm where idle computing resources owned by a certain user are offered in the cloud to be utilised by others in order to reduce operational costs. Engaging people in volunteer cloud computing is an obstacle which requires novel motivational methods, ideally online. Gamification is a method for increasing people motivation and changing their behaviour towards certain tasks in a non-game context. This position paper advocates that gamification is potentially a means to increase people engagement and retention in volunteer cloud computing projects. As an initial step to reach a systematic application of gamification in such projects, we study the relationship between game mechanics and different categories of volunteers and propose a preliminary mapping that relates these two aspects. Keywords—volunteer cloud computing; gamification mechanics; volunteer classes I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.707.5070&rep=rep1&type=pdf,[],
Load Balancing in Cloud Computing,"Rajwinder Kaur, Pawan Luthra",nan,"Abstract — Cloud computing helps to share data and provide many resources to users. Users pay only for those resources as much they used. Cloud computing stores the data and distributed resources in the open environment. The amount of data storage increases quickly in open environment. So, load balancing is a main challenge in cloud environment. Load balancing is helped to distribute the dynamic workload across multiple nodes to ensure that no single node is overloaded. It helps in proper utilization of resources.It also improve the performance of the system. Many existing algorithms provide load balancing and better resource utilization. There are various types load are possible in cloud computing like memory, CPU and network load. Load balancing is the process of finding overloaded nodes and then transferring the extra load to other nodes. Index Terms — Cloud Computing, Load Balancing, Existing load balancing algorithms. I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.429.996&rep=rep1&type=pdf,"['load balancing', 'cloud computing', 'open environment', 'many resource', 'main challenge', 'algorithm provide load balancing', 'overloaded node', 'multiple node', 'single node', 'existing load', 'share data', 'proper utilization', 'various type load', 'dynamic workload', 'abstract cloud', 'index term cloud computing', 'extra load', 'data storage increase', 'cloud environment', 'distributed resource', 'network load', 'resource utilization']",
Geoprocessing in Cloud Computing platforms,"Peng Yue, Hongxiu Zhou, Jianya Gong, Lei Hu",2012,"The emergence of Cloud Computing technologies brings a new information infrastructure to users. Providing geoprocessing functions in Cloud Computing platforms can bring scalable, on-demand, and cost effective geoprocessing services to geospatial users. This paper provides a comparative analysis of geoprocessing in Cloud Computing platforms Microsoft Windows Azure and Google App Engine. The analysis compares differences in the data storage, architecture model, and development environment based on the experience to develop geoprocessing services in the two Cloud Computing platforms; emphasizes the importance of virtualization; recommends applications of hybrid geoprocessing Clouds, and suggests an interoperable solution on geoprocessing Cloud services. The comparison allows one to selectively utilize Cloud Computing platforms or hybrid Cloud pattern, once it is understood that the current development of geoprocessing Cloud services is restricted to specific Cloud Computing platforms with certain kinds of technologies. The performance evaluation is also performed over geoprocessing services deployed in public Cloud platforms. The tested services are developed using geoprocessing algorithms from different vendors, GeoSurf and Java Topology Suite. The evaluation results provide a valuable reference on providing elastic and cost-effective geoprocessing Cloud services.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.379.5248&rep=rep1&type=pdf,"['cloud computing platform', 'cloud service', 'specific cloud computing platform', 'tested service', 'different vendor', 'development environment', 'data storage', 'valuable reference', 'geospatial user', 'current development', 'google app engine', 'public cloud platform', 'comparative analysis', 'architecture model', 'java topology suite', 'certain kind', 'cost-effective geoprocessing cloud service', 'performance evaluation', 'new information infrastructure', 'cost effective geoprocessing service', 'cloud computing technology', 'evaluation result', 'interoperable solution', 'geoprocessing service', 'hybrid cloud pattern']",
Green Cloud Computing,"Rudu K E, Srikanth Ganta, Nageswar P",nan,"Abstract- Cloud computing is offering utility oriented IT services to users worldwide. It enables hosting of applications from consumer, scientific and business domains. However data centers hosting cloud computing applications consume huge amounts of energy, contributing to high operational costs and carbon footprints to the environment. With energy shortages and global climate change leading our concerns these days, the power consumption of data centers has become a key issue. Therefore, we need green cloud computing solutions that can not only save energy, but also reduce operational costs. The vision for energy efficient management of cloud computing environments is presented here. A green scheduling algorithm which works by powering down servers when they are not in use is also presented.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.302.8600&rep=rep1&type=pdf,"['green cloud computing', 'data center', 'huge amount', 'global climate change', 'carbon footprint', 'green cloud', 'power consumption', 'key issue', 'high operational cost', 'energy shortage', 'green scheduling algorithm', 'operational cost', 'abstract cloud computing', 'business domain', 'energy efficient management']",
Security Challenge in Cloud Computing,Ms Asiya Jaleel,nan,"Cloud Computing is an internet based computing where virtual shared servers provide software, infrastructure, platform, devices and other resources and hosting to customer on a pay –as—you-use basis. Users can access these services available on “Internet Cloud “without having any previous known how on managing the resources involved. But the major issue in the cloud computing is security. Several concerns which identify security requirements in cloud computing. This paper brings out an introductory review on cloud computing,various services and security challenges in cloud computing. Confidentiality, Integrity, Availability, Authenticity, and Privacy are essential concerns for both Cloud providers and consumers as well. Infrastructure as a Service (IaaS) serves as the foundation layer for the other delivery models, and a lack of security in this layer will certainly affect the other delivery models, i.e., PaaS, and SaaS that are built upon IaaS layer. This paper presents an elaborated study of IaaS components ’ security and determines vulnerabilities and countermeasures. Service Level Agreement should be considered very much importance.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.429.754&rep=rep1&type=pdf,[],
Cloud Storage as the Infrastructure of Cloud Computing,"Jiyi Wu, Lingdi Ping, Xiaoping Ge, Ya Wang, Jianqing Fu, Hangzhou P. R. China",2010,"paradigm, Cloud Computing has taken commercial computing by storm. Cloud computing platforms provide easy access to a company’s high-performance computing and storage infrastructure through web services. With cloud computing, the aim is to hide the complexity of IT infrastructure management from its users. At the same time, cloud computing platforms provide massive scalability, 99.999 % reliability, high performance, and specifiable configurability. These capabilities are provided at relatively low costs comparedto dedicated infrastructures.This article gives a quick introduction to cloud storage. It covers the key technologies in Cloud Computing and Cloud Storage, several different types of clouds services, and describes the advantages and challenges of Cloud Storage after the introduction of the Cloud Storage reference model.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.457.8022&rep=rep1&type=pdf,"['cloud computing', 'cloud storage', 'commercial computing', 'quick introduction', 'company high-performance computing', 'key technology', 'specifiable configurability', 'cloud storage reference model', 'web service', 'dedicated infrastructure', 'massive scalability', 'several different type', 'high performance', 'easy access', 'cloud service', 'infrastructure management', 'storage infrastructure', 'low cost']",
Security Aspects of Cloud Computing,"Kunal Chadha, Anvita Bajpai",nan,"Cloud Computing is the new buzz word in today‟s computing world. Although there is huge buzz, many people are confused as to exactly what cloud computing is, especially as the term can be used to mean almost anything. The paper is categorized in three parts. The first part of this paper briefly explains the cloud computing model. The second part of paper follows a discussion on what security threats and challenges pose in front of this technology. While the final part focuses on how virtualization plays an important role in cloud computing and talks about techniques for securing the virtual machines over the cloud. The paper talks about what assumptions are made by existing kernel integrity-checking mechanisms which may not work in cloud environment and finally discuss an integrity discovery system using secure introspection [1] for virtual environments which ensures high security. Keywords Cloud computing, cloud delivery model, cloud deployment model, advantages of cloud, security concern in cloud, security measures in cloud, virtualization and secure introspection. 1.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.259.4720&rep=rep1&type=pdf,"['cloud computing', 'security aspect', 'secure introspection', 'second part', 'many people', 'first part', 'virtual machine', 'integrity discovery system', 'keywords cloud computing', 'new buzz word', 'kernel integrity-checking mechanism', 'final part', 'paper talk', 'cloud deployment model', 'important role', 'security concern', 'paper briefly', 'security threat', 'huge buzz', 'cloud environment', 'high security', 'virtual environment', 'cloud delivery model', 'security measure']",
Cloud Computing Services Accounting,"Igor Ruiz-agundez, Yoseba K. Penya, Pablo G. Bringas, Deustotech Deusto",2012,"Cloud computing provides a new promising parading to offer services. It brings the opportunity to develop new business models in the Internet. Classic accounting solutions fail to full fill the new requirements of these services due to their structural design. To understand these new constrains, we study the different actors and processes that interact in the Internet Economics. Specifically, we focus on cloud computing introducing a methodology that allows the deployment of cloud services. Further, we present an Infrastructure as a Service (IaaS) use case that applies the proposed system.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.301.187&rep=rep1&type=pdf,"['cloud computing service accounting', 'new promising parading', 'different actor', 'new constrains', 'use case', 'new business model', 'classic accounting solution', 'internet economics', 'structural design', 'proposed system', 'cloud service', 'new requirement']",
Towards on Cloud Computing Standardization,"Kangchan Lee, Seungyun Lee, Hee-dong Yang",nan,"Several computing paradigms have promised to deliver this computing vision, of which the latest one is known as Cloud computing. The term of cloud denotes the infrastructure as a “Cloud ” from which businesses and users are able to access applications from anywhere in the world on demand. Cloud Computing is a new paradigm for the provision of computing infrastructure, and provides all the resources including networks, servers, storage, applications, and services as a service. This paradigm shifts the location of this infrastructure to the network to reduce the costs associated with the management of hard-ware and software resources. This paper intends to provide comprehensive review on Cloud computing in terms standardization in de jure standardization organizations such as ITU-T and JTC1, and de facto standardization organizations.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.643.233&rep=rep1&type=pdf,"['cloud computing standardization', 'new paradigm', 'access application', 'cloud computing', 'term standardization', 'comprehensive review', 'software resource', 'de jure standardization organization', 'standardization organization']",
Security Aspects in Cloud Computing,"Apurva Shitoot, Sanjay Sahu, Rahul Chawda",nan,"Abstract — Cloud computing, sometime known as on-demand computing is one of the newest developments in the computer technology. Security in Cloud computing is a significant and critical aspect, associated with many issues and problems to use or deployment of it. The objective of this research contribution is to focus on various security issues occurs from the usage of Cloud services. As well as to discover probable problems, based on existing researches; finally observe and present appropriate key solution for each problem.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.428.7210&rep=rep1&type=pdf,"['cloud computing', 'security aspect', 'computer technology', 'various security issue', 'research contribution', 'present appropriate key solution', 'abstract cloud computing', 'probable problem', 'critical aspect', 'on-demand computing', 'many issue', 'cloud service']",
Service-Oriented Cloud Computing Architecture,"Wei-tek Tsai, Xin Sun, Janaka Balasooriya",2010,"Cloud computing is getting popular and IT giants such as Google, Amazon, Microsoft, IBM have started their cloud computing infrastructure. However, current cloud implementations are often isolated from other cloud implementations. This paper gives an overview survey of current cloud computing architectures, discusses issues that current cloud computing implementations have and proposes a Service-Oriented Cloud Computing Architecture (SOCCA) so that clouds can interoperate with each other. Furthermore, the SOCCA also proposes high level designs to better support multi-tenancy feature of cloud computing. 1.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.455.2401&rep=rep1&type=pdf,"['service-oriented cloud computing architecture', 'cloud computing', 'current cloud computing architecture', 'high level design', 'overview survey', 'current cloud', 'multi-tenancy feature', 'current cloud implementation', 'cloud implementation']",
Energy aware consolidation for Cloud computing,"Shekhar Srikantaiah, Aman Kansal, Feng Zhao",2008,"Consolidation of applications in cloud computing envi-ronments presents a significant opportunity for energy optimization. As a first step toward enabling energy effi-cient consolidation, we study the inter-relationships be-tween energy consumption, resource utilization, and per-formance of consolidated workloads. The study reveals the energy performance trade-offs for consolidation and shows that optimal operating points exist. We model the consolidation problem as a modified bin packing prob-lem and illustrate it with an example. Finally, we outline the challenges in finding effective solutions to the con-solidation problem. 1",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.518.4795&rep=rep1&type=pdf,"['energy aware consolidation', 'effective solution', 'energy effi-cient consolidation', 'con-solidation problem', 'consolidation problem', 'consolidated workload', 'inter-relationships be-tween energy consumption', 'modified bin', 'energy optimization', 'first step', 'significant opportunity', 'energy performance trade-off', 'resource utilization', 'envi-ronments present']",
CLOUD COMPUTING WITH BIG DATA,As A Service,nan,"Abstract – Big data management is becoming crucial now a days because of the evolution of large number of social networking websites, powerful mobile devices, sensors, and cloud computing. According to IDC analysis, the global data volume is going to grow 44 times between 2009 and 2020.It may also go beyond limits such that we cannot control. The existing technology and infrastructure may not support to maintain these large chunks of data. This paper deals with possibilities, vulnerabilities, problems, solutions and advantages of maintaining the bigdata in the area of cloud computing. Keywords-cloud computing, bigdata, data mining, bigdata processing, bigdata management. I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.404.1239&rep=rep1&type=pdf,"['cloud computing big data', 'social networking website', 'idc analysis', 'bigdata processing', 'cloud computing', 'data mining', 'powerful mobile device', 'global data volume', 'keywords-cloud computing', 'large number', 'large chunk', 'bigdata management', 'abstract big data management']",
Identity Management in Cloud Computing,"Rizwana Shaikh, Nerul Navi Mumbai, M. Sasikumar, Kharghar Navi Mumbai",nan,"Cloud computing offers a rich set of services by pay per use basis. The features and technology offered by various providers created a great competitive market for the business. The various security issues are attracting attention, one of which is identity and privacy of the cloud user. Users are varied about the privacy of information which they have given to the provider at the time of registration. We present an analysis of various identity management systems and proposing a simple trust based scheme for a cloud computing application and service.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.278.4877&rep=rep1&type=pdf,"['cloud computing', 'identity management', 'use basis', 'various security issue', 'various identity management system', 'various provider', 'great competitive market', 'simple trust', 'cloud user', 'rich set']",
Cloud Computing – A,"Benjamin Blau, Christof Weinhardt, Arun An, Benjamin Blau, Jochen Stößer",2009,"The authors provide a criteria catalogue to characterize cloud computing and their own Cloud Business Ontology Model to classify current product offerings and pricing models. T he popular press has recently promoted grid and cloud computing as two of the most promising trends in IT. Grid com-puting debuted first, in the early 1990s. Arising from the need for more computational power than clusters can provide, researchers soon found that distributed high-performance comput-ing in virtual organizations could help them deal with large amounts of data. Research projects soon started all over the world, funded by governments as well as industry, in an attempt to fully exploit grid computing’s computational advantages. Lately, however, a new computing paradigm has emerged: cloud computing. Just as with the buzz around grid computing, this topic has generated",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.864.4284&rep=rep1&type=pdf,[],
A View of Cloud Computing,Majed Balkhi,nan,"Copyright © 2014 ISSR Journals. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. ABSTRACT: Nowadays cloud computing is a very latest concept in IT industry due to its different sources everyone is thinking about it that how useful is cloud computing. Cloud computing is only a system on the internet which can run applications and store them. Enterprise cloud computing is the application in which business and consumer both use the process of cloud computing. Normally to run a business application it would take a lot of money and need to pay for the update of software and servers. Nevertheless, in cloud computing it make simpler the whole process it reduced the system and store all the data on one cloud on the internet and shared the data in data center. Where customers and employees of business can easily use without spending any money. So the advantage of cloud computing is cost less and it maintains and update its software itself. They are more secure and reliable due to the policy of username and password to access the application on the cloud computing. User can use the cloud from anywhere and anytime. I came to know that privacy, infrastructure, and security in cloud computing are the major factors of the entire procedure. Cloud computing can be the essential technology infrastructure that can convert business, education if it is properly and carefully execute.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.676.5339&rep=rep1&type=pdf,"['cloud computing', 'different source everyone', 'creative common attribution license', 'essential technology infrastructure', 'original work', 'business application', 'major factor', 'unrestricted use', 'entire procedure', 'open access article', 'data center', 'nowadays cloud computing', 'issr journal', 'whole process']",
FPGA for reliance on Cloud Computing,"Jaganath Prasad Mohanty, Kamalakanta Mahapatra",nan,"Abstract Cloud Computing models a convenient, on-demand network access to a shared pool of configurable computing resources. However, it makes the client data and computation vulnerable to attacks from potential threats as well as from untrusted system administrator. Many trials have been done to address the security concerns in cloud computing but not too much help came around, since using traditional CPU based system, we are unable to fabricate these computing nodes. In this paper, we explored the concept of effectively using FPGAs to engineer a lithe trusted computing platform by generating a smaller attack surface. Moreover FPGAs present a unique practical substitute to imitate the efficient performance within the cloud infrastructure. Keywords- Cloud computing; security; FPGA; RSA; ECC; AES.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.933.6341&rep=rep1&type=pdf,[],
Opportunities of Cloud Computing,Majed Balkhi,nan,"Copyright © 2014 ISSR Journals. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. ABSTRACT: The target of this paper is to review the opportunities of cloud computing and investigate its relationship among different factors that must be taken into consideration throughout the process. The paper design on overall research base to provide experiential aware of analysis the adopting cloud computing for innovation. Cloud Computing is a system of marvelous properties. All these properties should advertise to gain potential in the market of cloud computing technology. The lack of awareness of the uses of new technologies is a big hurdle in the way of progress of upcoming technologies such as cloud computing. By overcoming, these hurdles we can spread this technology widespread. The research as cloud computing technology is a new technology and many users are not familiar with its all positive aspects. There are many points that should be taught to the users and after that they will be able to utilize all of its aspects and after that, this technology will gain potential and will become much popular. To achieve more benefits of cloud computing, the research suggests that enterprises need assume number of steps. It suggests that collaborative innovation is not necessarily an immediate consequence of adopting cloud computing. The theoretical foundation of this paper formed by conducting a comprehensive literature review on opportunities of cloud computing. A new model presented to illustrate the relationship between cloud computing and four specific factors.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.685.5844&rep=rep1&type=pdf,"['cloud computing', 'new technology', 'assume number', 'original work', 'theoretical foundation', 'comprehensive literature review', 'collaborative innovation', 'experiential aware', 'overall research base', 'marvelous property', 'creative common attribution license', 'unrestricted use', 'many user', 'paper design', 'big hurdle', 'positive aspect', 'many point', 'different factor', 'specific factor', 'open access article', 'issr journal', 'immediate consequence', 'new model']",
AN ASSESSMENT OF CLOUD COMPUTING: EVOLUTION,"Manvi Mishra, Isha Arora, Pooja Singh, Sugandha Prabhakar",nan,"In this present work we have given a concise and systematic study of evolution of cloud computing from shared web hosting to public cloud computing along with multi clouds based on a wide spectrum of factors which include scalability, availability and performance. The proposed work studies hosting types and aims to promote the use of single and multi-clouds to reduce the risks. Cloud computing is a multi-paradigm technology which has evolved as a cost effective, flexible, performance oriented infrastructure for agile development of business operations. Cloud computing changes the way we think about computing by decoupling data processing, data retention, and data presentation – in effect, divorcing components from location. Today due to the need of hour and security constraints, single cloud computing is transforming to multi cloud computing. Focus has been done on Multi cloud which is also known as “inter cloud ” or “cloud of clouds ” which reduces the security risks like failure of service availability, data loss and confidentiality breaches that are drawbacks with single cloud.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.686.3376&rep=rep1&type=pdf,"['assessment cloud computing', 'multi cloud', 'agile development', 'inter cloud', 'systematic study', 'confidentiality breach', 'present work', 'data loss', 'data presentation', 'service availability', 'wide spectrum', 'single cloud computing', 'business operation', 'security risk', 'data processing', 'security constraint', 'multi-paradigm technology', 'data retention', 'public cloud', 'cloud computing', 'single cloud', 'work study']",
Protection Directive to cloud computing,"Infopreneurship Journal (ij, Victoria Ostrzenski Mas",nan,"The use of cloud services for the management of records presents many challenges, both in terms of the particulars of data security as well the need to sustain and ensure the greater reliability, authenticity, and accuracy of records. To properly grapple with these concerns requires the development of more specifically applicable and effective binding legislation; an important first step is the examination and identification of the risks specific to cloud computing coupled with an evaluation of presently applicable legislation. Within the context of the European Union, this type of analysis centres on the Data Protection Directive (Directive 95/46/EC), and its related instruments. This article examines the present legal framework governing cloud computing in the EU today, and highlights how the various Articles of the Data Protection Directive can be linked to particular concerns about the cloud in order to better safeguard users and providers engaged in cloud computing. © 2013 PAIKAL, All rights reserved.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.403.5452&rep=rep1&type=pdf,"['protection directive', 'data protection directive', 'cloud computing', 'analysis centre', 'eu today', 'safeguard user', 'record present many challenge', 'related instrument', 'effective binding legislation', 'particular concern', 'present legal framework', 'various article', 'data security', 'important first step', 'applicable legislation', 'european union', 'cloud service']",
Cloud Computing Services and Vulnerabilities,"Gurpreet Singh, Kanwalpreet Kaur, Hya Vats",nan,"Abstract- Cloud computing is one of the rising trends in the in progress IT enterprise. Due to it’s nature of on demand computing as service, it means whenever you need the service cloud is there to make available you those services that you can inhibit on your PC, laptop or work station. Cloud computing is providing services that organization necessitate to complete their business requirement with low cost and minimum management over head. It inhabits the advantages of an assortment of computing technologies such as cluster computing, grid computing, distributed computing etc. whereas there are various vulnerabilities in the cloud computing some of them are explored and some of them are still under the shells. These once triggered can loss to company reputation, customer data and code which is residing in cloud provider premises. So in this paper we discuss the vulnerabilities in the cloud which can cause this serious effect on the cloud.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.416.1512&rep=rep1&type=pdf,"['cloud computing service', 'service cloud', 'work station', 'low cost', 'minimum management', 'company reputation', 'cloud computing', 'various vulnerability', 'business requirement', 'grid computing', 'cluster computing', 'customer data', 'abstract cloud computing', 'progress enterprise', 'organization necessitate', 'cloud provider premise', 'serious effect']",
Impact of Cloud Computing Adoption on,"Firm Stock, Price An, Adam M. Mahmood, Faruk Arslan, Jagadish Dandu, Godwin Udo, Aurelia Nicholas-donald",nan,"In this paper, we investigate how cloud computing adoption impacts publicly traded 26 cloud-adopting companies ’ stocks. In an effort to perform a valid assessment of a firm’s cloud adoption initiatives, we also evaluate the stocks of 26 companies, which did not adopt cloud computing and operate in the same industry with similar market capitalization. Our study differs from the previous studies in the area because it uses Fama-French three factor model to derive the stock abnormal returns for both adopters and non-adopters. Furthermore, given the announced risks of cloud computing in the literature, we analyzed the stock risk between adopters and non-adopters. Our preliminary analysis implies that businesses adopting cloud computing experience positive cumulative abnormal returns during the time the event was announced. Our research also indicates that both cloud adopting and non-cloud adopting companies suffer from higher stock risk during the announcement but this risk is not statistically significant.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.690.8957&rep=rep1&type=pdf,"['cloud computing adoption', 'cloud computing', 'stock risk', 'firm cloud adoption initiative', 'factor model', 'previous study', 'stock abnormal return', 'study differs', 'valid assessment', 'preliminary analysis implies', 'non-cloud adopting company', 'adoption impact', 'similar market capitalization', 'experience positive cumulative abnormal return', 'announced risk', 'cloud-adopting company stock']",
